nama_cabang,nama_pelanggan,rating,tanggal_ulasan,teks_komentar
Mie Gacoan - Ahmad Yani,ardhian yanuar,5,2 bulan lalu,"Tempatnya cukup luas dan bersih, cocok buat makan bareng teman atau keluarga. Tempat solat & toilet aman, bersih. Pelayanan cukup cepat meskipun pengunjung banyak dan disini selalu ramai.

Menunya sama seperti gacoan lainnya, cuma kalo disini ada photobox. Harga sangat terjangkau dengan rasa yang konsisten.

Secara keseluruhan, cocok buat yang cari tempat makan simpel, cepat, dan ramah di kantong. Wajar jadi salah satu tempat favorit banyak orang."
Mie Gacoan - Ahmad Yani,diyas erik wijayanti,5,4 bulan lalu,"Tempatnya selalu rame, tapi pelayanan tetap cepat dan teratur. Mienya enak, teksturnya pas dan bumbunya merata. Level pedasnya juga bisa disesuaikan, dari yang ringan sampai yang benar-benar bikin keringetan.
Harga masih sangat terjangkau, cocok buat makan bareng teman. Minumannya juga variatif dan segar. Overall, tempat yang worth it kalau lagi pengen mie pedas dengan harga ramah kantong. 👍"
Mie Gacoan - Ahmad Yani,Nur Azizah dwi rahmawati,1,2 bulan lalu,"Saya duduk di no meja 22, dan mulai order di 1:45 dari saya datang tumpukan sampah msih ada di meja saya, bahkan sampe makanan saya smpe tumpukan tersebut msih ada, lucu nya petugas bersihin semua tapi tidak bersihin di meja saya. Bahkan smpe jam 2:15 dan bru dibersihkan 2:20 itupun karna saya komplain.
Saya gatau otaknya dimana? Semua dibersihkan tpi meja saya engga."
Mie Gacoan - Ahmad Yani,"Ratih Saraswati, S. I. Kom",5,3 bulan lalu,"biasanya aku di gacoan margo kalo pulang kuliah, hari ini aku coba di Ahmad Yani, mantep bgt, tempatnya selalu bersih, karyawannya jga ramah ramah 3S selalu. Makanan minumannya juga enak dan menurutku ini bersih. Sukses Selalu Gacoan💞🙌🏻"
Mie Gacoan - Ahmad Yani,luqmanhakim xoi2,1,5 bulan lalu,"Cabe nya gak fresh, kayak di recook dipanasi lagi Rasanya aneh, topping mie banyakan baeang goreng ketimbang ayamnya. mana mie nya juga dingin padahal baru pertama kesini tapi kecewa pol. Dimsumnya dingin, gak enak. Gak lagi kesini lagi. Kapok."
Mie Gacoan - Ahmad Yani,Ailun Mufasilah,5,4 bulan lalu,"Rasa bumbu di mienya kerasa banget, minuman enak tapi terlalu manis, dimsumnya kelihatan besar” dan ga kempes. Beda spt cabang lain, aprvd🤏🏻"
Mie Gacoan - Ahmad Yani,Ajeng Maharani,1,3 bulan lalu,"kecewa bangeeeettt, udah beberapa kali kesini tp yg kemarin pelayanan nya kurang. menu disajikan dengan keadaan DINGIN, kondisi mie KERING & DINGIN, dimsum tersaji dgn keadaan dingin. menu yang disajikan tidak sesuai dengan yang dipesan. jelas jelas sudah tertulis LV 3 tpi yang disajikan LV 1 semua."
Mie Gacoan - Ahmad Yani,Dita Saputri,1,5 bulan lalu,"Sumpah pelayanannya lama bgttt, malam hari laper bgt pgn makan gacoan antri hampir 1 jam saya pesen es teh 2, teh tarik 1 pas dateng es nya kaya uda lama jadi es batu cair dan rasa uda ga manis, apalagi yang teh tarik mala ditamba es batu jadi makin ga manis cuma kaya minus sisa es yang ada rasa ditamba air, saya pesen mie gacoan level 0 sama 2 dikirimnya pedes semua, trs pangsit udang kaya udah semalem jadi kaya di panasin agak atos, biasanya saya order selalu online pake gofood/shopee food meski lama tapi makanannya aman aman aja, karna kali ini pgn makan di tempat jadi langsung ke gacoan, baru kali ini kecewa."
Mie Gacoan - Ahmad Yani,Hanin Nour,5,4 bulan lalu,"pelayanan nya gercep, ga lama makanan udah siap. pegawainya juga helpfull pas kipas angin mati. tempatnya nyaman, ga terlalu crowded. sering take away shopeefood jg dan rasa sama. 👍🏻👍🏻 …"
Mie Gacoan - Ahmad Yani,Faizatin Istiqomah,5,2 bulan lalu,Lumayan tidak antri panjang karena ada sistem barcode di setiap mejanya
Mie Gacoan - Ahmad Yani,Slamet Susanto,1,6 bulan lalu,"Dulu selalu jadi tempat favorit buat makan, tapi semenjak ada smoking area jadinya kalau makan kurang nyaman, apalagi smoking areanya lebih luas dari pada yang no smoking area. Kalau kayak gini jadinya nggak ramah buat anak-anak sama ibu hamil. Padahal ada area playground buat anak-anak malah dikasih smoking area"
Mie Gacoan - Ahmad Yani,Jolo Sutro,5,Diedit 4 bulan lalu,Sampai malam tetap ramai Semoga tetap bahagia selalu banyak rezekinya para pengunjung pemilik staf karyawan go-jek go-send shopee food driver dan kurir lainnya
Mie Gacoan - Ahmad Yani,Rizka Rahmawati,2,5 bulan lalu,"Pangsit goreng nya keras , anak saya yg biasa nya suka pangsit goreng jadi nggak mau makan sama sekali. Padahal awal pangsit nya Dateng anakku girang , lha kok pas di makan malah di lepeh.
Rasa mie nya pun hambar , beda sama yang di gacoan candi Sidoarjo"
Mie Gacoan - Ahmad Yani,Muhammad Abid Ridwan,5,4 bulan lalu,"Makanan enak, rasa mie mantap
Pelayanan Dan tempat memuaskan"
Mie Gacoan - Ahmad Yani,Diva Nafasyah Putri,5,4 bulan lalu,Walaupun rame masih terbilang terjangkau untuk waktu menunggu makanannya dan tempatnya pun bersih
Mie Gacoan - Ahmad Yani,Bayu harya,5,5 bulan lalu,"Udah enak kok smuanya, gorengan2 yg saya pesan masih garing dn enakk. Staff nya ramah2 murah senyum dn bisa dimintai tlg. Good tingkatkan yak 🤟🏻🤗"
Mie Gacoan - Ahmad Yani,ra zaraa,5,Diedit 3 bulan lalu,"Area duduknya tertata rapi, bersih, dan cukup luas. Pelayanannya juga ramah serta cepat. Overall, tempat ini recommended untuk makan sekaligus chill."
Mie Gacoan - Ahmad Yani,Bunga Yuwa,4,3 bulan lalu,"Seperti biasa, tempat selalu rame. Tapi pelayanannya oke jadi aman ajaa"
Mie Gacoan - Ahmad Yani,Bagas owen,1,4 bulan lalu,"Nunggu lama 1 jam lebih, katanya gara2 printer rusak. Printer rusak ya orderan dihentikan tetapi orderan sebelumnya tetep bisa di jalankan. Masa yg baru datang cepet dapetnya. Kecewa berat"
