nama_cabang,nama_pelanggan,rating,tanggal_ulasan,teks_komentar
Mie Gacoan - Ir Soekarno,Nayla Norisz,5,2 hari lalu,"Tempat nyaman, makanannya juga enak"
Mie Gacoan - Ir Soekarno,Nur M,5,2 hari lalu,enakkkkkk
Mie Gacoan - Ir Soekarno,sahiw,5,2 hari lalu,Baik bangettt
Mie Gacoan - Ir Soekarno,faradesyaa,5,2 hari lalu,"pelayanan bagus dan cepat, makanan nya enak👍🏻"
Mie Gacoan - Ir Soekarno,Alkhaizaran S,5,2 hari lalu,Bagus
Mie Gacoan - Ir Soekarno,12B_31_Zahra Shaumi Putri Purnama,5,2 hari lalu,"Pelayanan cepat, ramah, tempatnya bersih"
Mie Gacoan - Ir Soekarno,Sabrina Cesa,5,2 hari lalu,"Tempat nyaman dan bersih, harga terjangkau untuk mahasiswa"
Mie Gacoan - Ir Soekarno,Nyayu Isnaini,5,2 hari lalu,"makanannya enak,  pelayanannya memuaskan. tempatnya nyaman dan bersih, kalo bisa adain tempat indoor yang jauh dari asap rokok."
Mie Gacoan - Ir Soekarno,Syifa Tri Rahmadani,5,2 hari lalu,"makanan enak, dan layanannya cepat, nyaman juga karena ga panas/sumpek"
Mie Gacoan - Ir Soekarno,divvazforstudy,5,2 hari lalu,"Bagus, bersih, dan luas, pelayanan nya teroganisir"
Mie Gacoan - Ir Soekarno,Sella Ramadhan,5,3 hari lalu,layanan sangat baik dan cepat
Mie Gacoan - Ir Soekarno,Fafa Fadliyah,5,3 hari lalu,Rekomend bangetttt🤩🤩
Mie Gacoan - Ir Soekarno,Ria Missria,5,3 hari lalu,Ke 3x ksini enak pelayanan bagus. Mie nya porsinya ditambah donkk😊
Mie Gacoan - Ir Soekarno,Bella Sabrina,5,4 hari lalu,Pelayanan bagus
Mie Gacoan - Ir Soekarno,Bella Sabrina,5,4 hari lalu,Pelayanan oke
Mie Gacoan - Ir Soekarno,Dekis Nekam,5,4 hari lalu,tempatnya nyaman
Mie Gacoan - Ir Soekarno,Aryadwi Pratama,5,4 hari lalu,Pelayanan nya sangat baik
Mie Gacoan - Ir Soekarno,Lailatul Mutmainnah,5,4 hari lalu,Bisa muat banyak orang
Mie Gacoan - Ir Soekarno,Wafa Wafi,5,4 hari lalu,Nyaman dan lebih dekat dari rumah
Mie Gacoan - Ir Soekarno,alfi fauziyah,5,4 hari lalu,"Tempat nyaman , pelayanan bagus"
Mie Gacoan - Ir Soekarno,Allya Roissa,5,4 hari lalu,Pelayanan cepat
Mie Gacoan - Ir Soekarno,Kurniawan Maulana,5,4 hari lalu,"Dari sekian banyak nya gacoan di Surabaya
Saya sangat puas dengan pelayanan gacoan yg disini
Sangat ramah , asikk , the best lah pokoknya
Tekstur mie nya juga ga terlalu matang aku suka"
Mie Gacoan - Ir Soekarno,Citra Jati,5,4 hari lalu,Tempat rekomendasi.
Mie Gacoan - Ir Soekarno,Gusti Prio sembodo,5,4 hari lalu,Mie nya lebih enak 👍👍👍.
Mie Gacoan - Ir Soekarno,bembengcrut 87,5,4 hari lalu,Pelayanan nya ramah ramah dan tempatnya nyaman...
Mie Gacoan - Ir Soekarno,Raka Gilang Pratama,5,4 hari lalu,"dari semua gacoan di Surabaya menurut ku ini yang paling best pelayanannya, karyawan ramah ramah dan tempatnya yang nyaman, apalagi jam makan siang
mantap pokoknya 👍👍"
Mie Gacoan - Ir Soekarno,Dicky Cahyo,5,4 hari lalu,"Mie Gacoan Merr selalu bikin nagih.
Pedasnya mantap, udang kejunya lumer, dan ada juga udang rambutan serta lumpia udang yang enak banget. Tempatnya luas, self-service, dan cocok buat makan rame-rame."
Mie Gacoan - Ir Soekarno,Fatur Firmansyah Laksono,5,4 hari lalu,The best lah mie sama udang keju nya
Mie Gacoan - Ir Soekarno,Niken Oktasya,5,4 hari lalu,Salah Satu Gacoan Paling strategis di SBY dengan Parkiran Yang luas dan dekat dengan salah satu kampus terbesar di SBY.
Mie Gacoan - Ir Soekarno,Mocha Persia,5,4 hari lalu,Makanannya enak pegawainya ramah Ramah aku suka makan di gc mer 2
Mie Gacoan - Ir Soekarno,Salsa bella127,5,5 hari lalu,enak mantap asek
Mie Gacoan - Ir Soekarno,Siti Yuliati,5,5 hari lalu,enak murah
Mie Gacoan - Ir Soekarno,Ardi Praha,5,5 hari lalu,"makanannya enak, tempat nya bersih"
Mie Gacoan - Ir Soekarno,Anggun Azaria,5,5 hari lalu,"pelayanannya ramah, tempatnya bersih"
Mie Gacoan - Ir Soekarno,Rayra,5,5 hari lalu,"tempatnya comfy, pelayanan cepet, menunya enak enak"
Mie Gacoan - Ir Soekarno,Muhammad Usman,5,seminggu lalu,"Saya senang bisa makan malam di sini, pelayanan, makanan & minumannya sejauh ini bagus. Tidak terlalu jauh dari kampus saya, jadi itulah mengapa restoran ini selalu menjadi pilihan utama bagi mahasiswa di sini."
Mie Gacoan - Ir Soekarno,Neeza Amelia Putri H,5,Diedit seminggu lalu,"pelayanan bagus, tempat bersih, makanan cepat datang, kakak kakak nya pada ramah dan baik baik semuaa"
Mie Gacoan - Ir Soekarno,Yora Piranti,5,seminggu lalu,Menarik
Mie Gacoan - Ir Soekarno,jon Jepang,5,seminggu lalu,"enak, nyaman, mie nya rekomen harga terjangkau"
Mie Gacoan - Ir Soekarno,Zeinytu Agsha,5,seminggu lalu,Mie dan tempatnya sgtt rekomen😋✨
Mie Gacoan - Ir Soekarno,Gito Siswoko,5,seminggu lalu,enak mienya
Mie Gacoan - Ir Soekarno,Moch Ayyub,5,seminggu lalu,enak nyaman dan murah
Mie Gacoan - Ir Soekarno,Impossible Dream,5,seminggu lalu,sukses selalu untuk karyawanya
Mie Gacoan - Ir Soekarno,Khulatul Wafa,5,seminggu lalu,Puas sekali
Mie Gacoan - Ir Soekarno,Ryan Wijaya,5,seminggu lalu,enak
Mie Gacoan - Ir Soekarno,Nur Abhista Rajendra,5,seminggu lalu,"Makanannya enak, pelayanan ramah dan makanan cekat siap"
Mie Gacoan - Ir Soekarno,safiraa putri Inaku,5,seminggu lalu,pelayanan baik
Mie Gacoan - Ir Soekarno,Ali Wae,5,seminggu lalu,atas
Mie Gacoan - Ir Soekarno,Fairuz Aqillah,5,seminggu lalu,"TEMPATNYA ENAKK NYAMANN DAN SUASANA NYA BAGUSS APALAGI DEKET UNAIR KAMPUS C,MALAH JADI PENGEN MAMPIR 🤩"
Mie Gacoan - Ir Soekarno,Maya zahrho,5,seminggu lalu,"pelayan cepat, tempat luas, makanan enak"
Mie Gacoan - Ir Soekarno,Yulia Cyintiawati,5,seminggu lalu,"pelayanannya baik, makanan datangnya cepat, tempatnya luas"
Mie Gacoan - Ir Soekarno,Elizabeth Anya,5,seminggu lalu,"Pelayanannya baik, karyawan ramah dan gercep, tempatnya nyaman."
Mie Gacoan - Ir Soekarno,Angela Senudin,5,seminggu lalu,Pelayanan sangat bagus & bersih
Mie Gacoan - Ir Soekarno,Falaah,5,seminggu lalu,👍
Mie Gacoan - Ir Soekarno,Ahmad Afdlolur Romadani,5,seminggu lalu,Rasanya konsisten
Mie Gacoan - Ir Soekarno,indah rachmawatii,5,seminggu lalu,nyamaaan bangeett❤️❤️❤️
Mie Gacoan - Ir Soekarno,Akbar Ramdhany,5,2 minggu lalu,"Pelayanan cepat karena sudah digitalisasi, jadi tidak mengantri lagi, tinggal duduk santai aja"
Mie Gacoan - Ir Soekarno,Risyad Azami,5,2 minggu lalu,paten
Mie Gacoan - Ir Soekarno,Tuah,5,2 minggu lalu,layanan cepat makanan enak parkir luas
Mie Gacoan - Ir Soekarno,Chelsea Putri,5,Diedit 2 minggu lalu,"enak, nyaman hawanya sejuk jugaa klo di luar layanannya cepet banget dulu bukber cepet juga"
Mie Gacoan - Ir Soekarno,Ahmad Baidhowi,5,2 minggu lalu,Atas
Mie Gacoan - Ir Soekarno,jahwara naira salma,5,2 minggu lalu,mantap
Mie Gacoan - Ir Soekarno,Zydan Akbar,5,2 minggu lalu,tempatnya nyaman
Mie Gacoan - Ir Soekarno,Lynette Angel,5,2 minggu lalu,"pelayanan ramah dan cepat..
mantap pokoknya👍👍 …"
Mie Gacoan - Ir Soekarno,18-Filza Raihana,5,2 minggu lalu,Saya sering makan di sini.
Mie Gacoan - Ir Soekarno,Riqueza Narapati,5,2 minggu lalu,enak tempatnya nyamann
Mie Gacoan - Ir Soekarno,Lynette Angel,5,2 minggu lalu,"pelayanan ramah dan cepat..
mantap pokoknya👍👍"
Mie Gacoan - Ir Soekarno,Fernata Toni Purnama,5,2 minggu lalu,Menarik
Mie Gacoan - Ir Soekarno,rahma sofia,5,2 minggu lalu,UENAK MAK JOS THE BEST GACOAN IN MY LIFE SEMOGA OWNER + SELURUH KARYAWANNYA MASUK SURGA
Mie Gacoan - Ir Soekarno,Nabila Delan,5,2 minggu lalu,Tempatnya nyaman buat makan dan ngerjain tugas
Mie Gacoan - Ir Soekarno,Putri Iky,5,2 minggu lalu,"mie gacoan nya enak banget, kalau mau nugas jugaa nyaman, pelayanannya ramah poll"
Mie Gacoan - Ir Soekarno,candra craft,5,2 minggu lalu,"Nyaman sekali, Polly."
Mie Gacoan - Ir Soekarno,Reank Roki,5,2 minggu lalu,untuk pelayanan cukup baik
Mie Gacoan - Ir Soekarno,Cantika Aja,2,2 minggu lalu,"sayang bgtt, ga panas sama sekali
mie lembek bgttt kek udah lama dan mie ga sesuai pesanan"
Mie Gacoan - Ir Soekarno,Maretha Jasmine,5,3 minggu lalu,"Tempatnya nyaman, pelayanan baik, mungkin bisa setiap meja dikasih stopkontak biar bisa sambil nugas"
Mie Gacoan - Ir Soekarno,kee,5,3 minggu lalu,"Layanannya OK, cepet juga makanannya"
Mie Gacoan - Ir Soekarno,Farhan Husen,5,3 minggu lalu,tempatnya bersih
Mie Gacoan - Ir Soekarno,Satrio Aji,5,3 minggu lalu,"pelayanan cepat, okeee, baikk"
Mie Gacoan - Ir Soekarno,Micin,5,3 minggu lalu,pelayanan cepat dan okeee
Mie Gacoan - Ir Soekarno,salwa zakiyyah,5,3 minggu lalu,sering kesini pulang kuliah
Mie Gacoan - Ir Soekarno,Evi “Malik Malone” Indarti,5,3 minggu lalu,"Mienya enak, tempatnya juga luas dan fasilitasnya lengkap. Pelayanannya ramah."
Mie Gacoan - Ir Soekarno,Ustu Bina Syahdiba,3,3 minggu lalu,Tolong speaker lebih diperhatikan lagi ya😹 …
Mie Gacoan - Ir Soekarno,Nur Sefianty,5,3 minggu lalu,pelayanannya cepat dan tempatnya bersih
Mie Gacoan - Ir Soekarno,derril user guin,1,3 minggu lalu,"pelayanan buruk, dari jam 13.23 baru di bikin jam 14.05 , staff tidak higenis pakai sarung tangan tapi kucek"" mata + banyak bercanda, dua orang setelah saya, malah saya di belakangin buruk 👎 …"
Mie Gacoan - Ir Soekarno,Soni Tyas,5,3 minggu lalu,"Lokasinya mudah ditemukan, tempatnya nyaman, bersih dan pelayanannya ramah.
Makanan rasa nya konsisten dan ramah dikantong."
Mie Gacoan - Ir Soekarno,Ustu Bina Syahdiba,3,3 minggu lalu,Tolong speaker lebih diperhatikan lagi ya😹
Mie Gacoan - Ir Soekarno,Faturrahman Ardiansyah,5,3 minggu lalu,mantaap
Mie Gacoan - Ir Soekarno,Akila Olabisi Sidiq,5,3 minggu lalu,"enak, tempatnya bersih"
Mie Gacoan - Ir Soekarno,Danny Putra,5,3 minggu lalu,Pelayanan bagus.
Mie Gacoan - Ir Soekarno,Izza Mukmin,5,3 minggu lalu,playanan bagus
Mie Gacoan - Ir Soekarno,Aqila bintang,5,4 minggu lalu,"Enakk sekalii, tempatnya jugaa ga seramai full padet kayak gacoan biasanya, mungkin kebetulan aja atau gimana soalnya baru pertama ke gacoan sini, pelayanannya juga ceepettt. Bahkan orang parkirnya juga ramah hehe. toppp 👍🏻👍🏻 …"
Mie Gacoan - Ir Soekarno,VIETA USTHANIL ARIFIN,5,4 minggu lalu,Kritik dari saya sangat puas pelayanannya
Mie Gacoan - Ir Soekarno,Venda Intan,5,4 minggu lalu,Tempatnya luas bersih dan pelayanannya sat set
Mie Gacoan - Ir Soekarno,Hendra Gunawan,4,4 minggu lalu,"Mie gacoan paling hemat dan berkualitas. Beli saja mie gacoan apa pun, pilih level 1 sampai 8. Dimsum siomay paling enak. Dimsum lumpia udang juga enak."
Mie Gacoan - Ir Soekarno,Siti Nur Aisyah,5,4 minggu lalu,Tempatnya nyaman sejuk luas
Mie Gacoan - Ir Soekarno,NURAYU ZAHARA,5,4 minggu lalu,"gacoan emg ga prnah gagall , sllu bessttt"
Mie Gacoan - Ir Soekarno,Aura Nafira,5,Diedit 4 minggu lalu,pelayanan bagus
Mie Gacoan - Ir Soekarno,zalfazalfazahiyahputriardiansyah zalfa,5,4 minggu lalu,tempatnya bersih dan tidak kotor
Mie Gacoan - Ir Soekarno,Mohamad Iqbal,5,sebulan lalu,pelayanan baguss ramahh dan terjangkauuu
Mie Gacoan - Ir Soekarno,Laura Evita Sari,4,sebulan lalu,"Enak kok, banyak cabe tapi kenapa ga pedes , cenderung asin"
Mie Gacoan - Ir Soekarno,Farrel Athaillah,5,sebulan lalu,Okelah
Mie Gacoan - Ir Soekarno,Mochamad Nur Faizi,5,sebulan lalu,"tanpa antri 👍
makanan enak, krispi, fresh anget👍 …"
Mie Gacoan - Ir Soekarno,TEP Mambi Mehalaan,5,sebulan lalu,Selalu langganan kesini
Mie Gacoan - Ir Soekarno,Imam Saroni,5,sebulan lalu,Kerja bagus
Mie Gacoan - Ir Soekarno,SELVYANA AYU RAMADHANI,5,sebulan lalu,"ramahh, bagus tempatnya"
Mie Gacoan - Ir Soekarno,Aulia Rosyidah,5,sebulan lalu,"Bagus, pelayanan cepat"
Mie Gacoan - Ir Soekarno,Quds Raudah,5,sebulan lalu,"tempatnya bagus, pelayanan ramah"
Mie Gacoan - Ir Soekarno,nur fadilah,5,sebulan lalu,enakk
Mie Gacoan - Ir Soekarno,Mochamad Nur Faizi,5,sebulan lalu,"tanpa antri 👍
makanan enak, krispi, fresh anget👍"
Mie Gacoan - Ir Soekarno,27. Renaldo Aprilano,5,sebulan lalu,"enak sekali, dan pelayanannya juga cepat terimakasih"
Mie Gacoan - Ir Soekarno,Tim Media,5,sebulan lalu,Best pelayanan
Mie Gacoan - Ir Soekarno,ummu sajidah,5,sebulan lalu,Tempatnya nyaman
Mie Gacoan - Ir Soekarno,Shalu Putri,5,sebulan lalu,tempatnya nyaman dan juga pelayanannya ramah sekalii🤩 …
Mie Gacoan - Ir Soekarno,Wildan Wildan,5,sebulan lalu,"Tempatnya nyaman, pelayanan oke, makanan oke"
Mie Gacoan - Ir Soekarno,Shalu Putri,5,sebulan lalu,tempatnya nyaman dan juga pelayanannya ramah sekalii🤩
Mie Gacoan - Ir Soekarno,khotijah jah,5,sebulan lalu,"Asik, mantap"
Mie Gacoan - Ir Soekarno,Yoga ade Dwi subroto,5,sebulan lalu,Enakk beda sama yang lain
Mie Gacoan - Ir Soekarno,Ahmad Zaki,2,sebulan lalu,"beli take away, rasanya aneh, hambar,tapi pangsit goreng masih oke 🙏 …"
Mie Gacoan - Ir Soekarno,lina lina,5,sebulan lalu,tempat yang nyaman dan pelayanan yang cepat dan ramah
Mie Gacoan - Ir Soekarno,Jovano Kalladewa,5,sebulan lalu,oke
Mie Gacoan - Ir Soekarno,Ahmad Zaki,2,sebulan lalu,"beli take away, rasanya aneh, hambar,tapi pangsit goreng masih oke 🙏"
Mie Gacoan - Ir Soekarno,Abdul Rizky Fatkurrohman,5,sebulan lalu,Okeh
Mie Gacoan - Ir Soekarno,HildaOiioii HildaHil,1,sebulan lalu,Lemot
Mie Gacoan - Ir Soekarno,Fery Yandoko,5,sebulan lalu,Pegawenya baik baik semua
Mie Gacoan - Ir Soekarno,Gregory Hope Soegiantoro (Yedidyah),3,sebulan lalu,"Rasa oke what can go wrong with gacoan, service beberapa meja kelompat. Saya order dine in meja yang datang setelah saya disajikan duluan, saya menunggu kira2 40 menit dan harus ditanyakan ke servernya"
Mie Gacoan - Ir Soekarno,Muchammad Sampurno,5,sebulan lalu,Menyesap
Mie Gacoan - Ir Soekarno,Aprilia Nurul,1,Diedit sebulan lalu,Pelayanan g memuaskan masak pesen level brp datangnya level brp g sesuai dan untuk kasir cowok nya g bertanggung jawab atas pesanan
Mie Gacoan - Ir Soekarno,Fadila Prita ayu Wulandari,5,Diedit sebulan lalu,"Di Gacoan ini tempatnya nyaman banget, pegawainya ramah cepet juga pelayanannya rekomend banget"
Mie Gacoan - Ir Soekarno,Samrin Yuba,5,sebulan lalu,Minta enak tempat nya nyaman pelayananya sangat ramah
Mie Gacoan - Ir Soekarno,Deca Rezananda,5,sebulan lalu,Joooos jiiiiissss
Mie Gacoan - Ir Soekarno,Arga Ganz,5,sebulan lalu,pelayanan sangat baikk cepat poll
Mie Gacoan - Ir Soekarno,Shelly Angelita,5,sebulan lalu,"Pelayanannya bagus , Lokasi bersih & strategis"
Mie Gacoan - Ir Soekarno,Desiva Frisillia A,5,sebulan lalu,"Pelayanan ramah dan cepatt, suka bangett🥰😍 …"
Mie Gacoan - Ir Soekarno,177NEIVALENSI,5,sebulan lalu,pelayanan baik
Mie Gacoan - Ir Soekarno,Reliaa Putrii,4,sebulan lalu,enak
Mie Gacoan - Ir Soekarno,Desiva Frisillia A,5,sebulan lalu,"Pelayanan ramah dan cepatt, suka bangett🥰😍"
Mie Gacoan - Ir Soekarno,nandar gempar,5,sebulan lalu,"enak tidak dingin, baik sopan,sunyi"
Mie Gacoan - Ir Soekarno,Diana Novitasari,1,sebulan lalu,"Parkirnya kurang jelas. Saya tidak bawa cash dan sudah mau bayar pakai QRIS untuk parkir 2 ribu, saat sinyal tidak mendukung bukannya dikasih arahan yang baik baik malah dituduh nggk punya paketan, malahan maksa saya harus bawa cash, mana …"
Mie Gacoan - Ir Soekarno,Tiara Maharani,5,sebulan lalu,"makanan konsisten dan cepat, tempatnya bersih banget, karyawannya ramah"" banget. semoga konsistensinya tetap terjaga👍 …"
Mie Gacoan - Ir Soekarno,TABITA LAILI ARINDA,1,sebulan lalu,PELAYANAN LAMA BGT BJIRR
Mie Gacoan - Ir Soekarno,Anggun Siswandoyo,5,sebulan lalu,"pelayan ramah dan cepat, makanan juga enak bintang 5"
Mie Gacoan - Ir Soekarno,Ailsa Balqis,5,sebulan lalu,Aneka Dimsumnya enak
