nama_cabang,nama_pelanggan,rating,tanggal_ulasan,teks_komentar
Mie Gacoan - Kenjeran,Disney Erraisya,5,11 jam lalu,kesan tempat yang sangat rekomendasi dan suasana yang sejuk.
Mie Gacoan - Kenjeran,Komala Fauzan,5,17 jam lalu,uennaaaaaaaaaakkk pollllll
Mie Gacoan - Kenjeran,Rara novianti Noviantirara42,5,17 jam lalu,Tempatnya lebih luas
Mie Gacoan - Kenjeran,Joo Chanel,1,1 hari lalu,Pelayanan kurang bgtttt
Mie Gacoan - Kenjeran,Avril Liza,5,1 hari lalu,Bagus
Mie Gacoan - Kenjeran,28. Putri Dwi C.,4,1 hari lalu,Sangat sangat
Mie Gacoan - Kenjeran,Moch riski Maulana,5,1 hari lalu,Pelayanan ramah
Mie Gacoan - Kenjeran,Dahlia Ida,5,1 hari lalu,Nikmat
Mie Gacoan - Kenjeran,Dahlia Kamalia,5,1 hari lalu,Siippp
Mie Gacoan - Kenjeran,Mlbb HH,5,1 hari lalu,Oke pelayanan nya
Mie Gacoan - Kenjeran,Nm RIFKI,5,1 hari lalu,Seppp
Mie Gacoan - Kenjeran,Silvi Aulia,5,1 hari lalu,pelayanan satsettt bngttt
Mie Gacoan - Kenjeran,Nur Aini Kurniawati,1,2 hari lalu,"tukang parkir resek banget mau uang tapi gk mau bantuin customer benerin motornya, arogan dan gak mau kerja!!! tolong manajemen gacoan dibantu pihak parkirnya ini bersangkutan dengan kenyamanan customer loh!!!"
Mie Gacoan - Kenjeran,Bagus Setiyawan,5,2 hari lalu,pelayanannya ramah dan cepat
Mie Gacoan - Kenjeran,Shinta Ramania,5,2 hari lalu,mantap
Mie Gacoan - Kenjeran,syafina dewi agustin,5,4 hari lalu,mantapp
Mie Gacoan - Kenjeran,Nofatiya Desi Astatik,5,4 hari lalu,"enakk, pelayananyaaa baguss🤗"
Mie Gacoan - Kenjeran,Fauzan,5,4 hari lalu,"Tetap menjaga kebersihan dan tetap menjaga rasa dari mie gacoan ,, petugasnnya ramah ramah sekali.. terimakasih"
Mie Gacoan - Kenjeran,sinta meilinda,5,4 hari lalu,Tempat yang nyaman untuk makan mie dan siomay
Mie Gacoan - Kenjeran,Nadzin Kharisma,5,seminggu lalu,Tempatnya bersih nyaman
Mie Gacoan - Kenjeran,Suci Indriyani,5,seminggu lalu,"sangat memuaskan,josjiss pelayanan nya, trimakasih banyak gacoan suda menciptakan makanan enak"
Mie Gacoan - Kenjeran,D Wazza,5,seminggu lalu,Pesanan cepat
Mie Gacoan - Kenjeran,Super Murah1,5,seminggu lalu,Nyaman
Mie Gacoan - Kenjeran,D_166 Irma Firlanda,5,seminggu lalu,"pelayanan lumayan cepettt, mienya juga enak dan sesuai"
Mie Gacoan - Kenjeran,Ronny panca Wibowo,5,seminggu lalu,Oke
Mie Gacoan - Kenjeran,Alwi Smith,5,seminggu lalu,Terbaik
Mie Gacoan - Kenjeran,25 Moch. Rifky Ardiansyah,5,seminggu lalu,Nyaman
Mie Gacoan - Kenjeran,kurnia rahmawati,4,seminggu lalu,"Jukir tolong di edukasi.
Semua juga mau makan dan bayar, klo tidak sabar tidak usah jadi jukir"
Mie Gacoan - Kenjeran,Ririn Antika,5,seminggu lalu,Enak banget
Mie Gacoan - Kenjeran,Sulis Setyawati,5,seminggu lalu,Mantap enak dan tempat nya nyaman
Mie Gacoan - Kenjeran,viki ariyanti,5,seminggu lalu,tempatnya sangat nyaman sekali
Mie Gacoan - Kenjeran,NOVIA TSIKIRINA WARDHANI,5,seminggu lalu,"pelayanannya sangat baik, kalau pelayannya juga ramah², sesuai dengan pesanan semua"
Mie Gacoan - Kenjeran,Siti Maufiroh / 33 firoo,4,seminggu lalu,tempat luas
Mie Gacoan - Kenjeran,akbar,5,seminggu lalu,pelayanan yang hagus
Mie Gacoan - Kenjeran,Komang Aditya,5,seminggu lalu,Makanan nya enak
Mie Gacoan - Kenjeran,Ilyas Rasyid Habibie,5,seminggu lalu,"Pelayanan bagus tidak ada kendala, tempatnya bersih"
Mie Gacoan - Kenjeran,Bang Rizky,1,seminggu lalu,"Mie terlalu lembek rasa tidak karuan kyak bubur, over ke minyak, dimsum jg sama saya pesan udang keju, parah banget rasanya terlalu matang semua jadi lembek kyk bubur. Ada kipas tapi seperti di open dan parkirannya minta uang parkir tapi …"
Mie Gacoan - Kenjeran,abii tok,1,seminggu lalu,"untuk mas mas yang di jam 21.56 yang makek kaca mata bagian bersih bersih lain kali omongan nya di jaga mas kalau ga niat kerja gausa kerja masa pesanan orang lain tida sengaja tersenggol terus tumpah bagian karyawan bersih bersih nya bilang ""nambah nambah kerjaan"" kalau ga niat kerja gsh kerja mas.!"
Mie Gacoan - Kenjeran,Pixie Kastil,5,seminggu lalu,"Pelayanan cepet, karyawan friendly,super pokoknya"
Mie Gacoan - Kenjeran,Nur Hayati,5,seminggu lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Chelsea Selomita,5,seminggu lalu,Pelayanan baik semua baik approve
