nama_cabang,nama_pelanggan,rating,tanggal_ulasan,teks_komentar
Mie Gacoan Kenjeran 2,Pandu Maulid,1,sebulan lalu,"Gelas pecah masih di pake aja, makan jd cepet2an takut minum nya abis karena bocor😞, barcode gk bisa di scan jd scan di meja sebelah nya😴"
Mie Gacoan Kenjeran 2,cikka aydr,2,4 bulan lalu,"sejam kurang 10 menit nunggu mie dowangg busett dahh brahh. kondisi emg lagi rame lah (wajar malming) eh tapi tapi tapi, org yg datang lebih lama dari aku pesenan nya udahh siap dan aku masih nunggu di meja dgn perut kroncongan 😦😦 ok serius. 2 kali tanya ke orang yg di bagian senter buat nanya in sudah apa belom nya tapi menurut ku kurang sih respon nya yaa, entah emg job ny cuma begitu atau gmna tapi yodah lah ya wkwkwkkwkw. 40 menit nungguin sambil nanya di senter (balik 2kali bos), karena udh capek buat jalan akhirnya ku tungguin di meja sambil nahan laper (bro gua blm makan dri siyangg😭🥹) akhirnya ibu"" di sebelah meja nanyain (makasij bu sumpah iloveyu) ""mba, ko beluk selesai?"" katae, ya ku jawab aja ""belum bu"" fyi ibu nya dateng lebih lama dari aku (aku dluan) tapi ibu itu dpt pesenannya dluan, oke lah ku maklumin soalnya dia cuma pesen gacoan 2. akhirnya sama ibu"" itu di panggilin lah mas mas yang lagi keliling anter pesenan orng, ""mas punya mbak ini mana, drtd nungguin."" trs mas nya minta struk nya kan dan diambilin (ily mas) trs nyampe dan yapppppp, salah orderan nyaa. ga masalah sih cuma salah level tapi maless bgtt, lg sakit makan pedes 🥹 aslinya pesen gacoan lvl nol malah dtg gacoan level brp itu entah lah. yawdahh gitu aja, mohon gacoan lebih baikk lagi pelayanan nya, soalnyaa byk yang ngeluh di sebelah meja"" kuu (kedengar woi bukan nguping wkwk) makasih, ily gacoan."
Mie Gacoan Kenjeran 2,Ezha Maldifes,5,6 bulan lalu,mienya disini enakkkk buanget sistem cepat bersih pula dingin pula the best deh pokonyaa crewnya juga ramah baik cekatan satsettt banget deh pokonya lop u gacoan surtam🫡🫡🫡🫡🫡🫡🫡🫵🏻🫵🏻🫵🏻🫵🏻🫵🏻🫵🏻🫵🏻🫵🏻🫵🏻
Mie Gacoan Kenjeran 2,Mas David,2,2 bulan lalu,"Setelah nunggu 1 jam 39 akhirnya dapet mie nya
Memasang malming
Tapi kok bisa ya antrean yang belakang bisa dpt terlebih dahulu padahal saya cuma pesen 2 mie saja

1 jam 39 menit itu tidak lah
Sampek saya minta di bantu sama orang yang ada di sana
Baru pertama kali langsung ke lokasi,ternyata kyak gini kalo di lokasi nunggu nya lama banget.
Oke lah malam minggu
Tapi wajar gak sih kalo nunggu sampai 1 jam 39 menit"
Mie Gacoan Kenjeran 2,Guntur Tri prasetyo,4,sebulan lalu,"hompimpa lv 8 rasanya emang pedas tapi rasa gurih nya kurang, lebih ke arah cabenya aja rasanya"
Mie Gacoan Kenjeran 2,via sovia,3,7 bulan lalu,"jujur, semakin kurang cita rasa mienya, dari yg enak bgt skrg jadi menurun drastis. dimsum+es nya masih lumayan. but pelayanan nya no bgt yak, kurang ramah juga mba mba nya, persediaan tisu habis. mohon dikoreksi lagi biar pembeli yg datang merasa nyaman juga🙏🏻🙂‍↕️"
Mie Gacoan Kenjeran 2,Eko Nugroho Wijanarko,2,sebulan lalu,"Selamat Pagi, Kenapa saya kasih Bintang 1 dan 2, Saya datang ke Resto ditgl 1 Januari jam 2pagi dan keadaan tidak terlalu ramai, pesanan  saya Mie 2 dan Dimsum 4, tapi saya tunggu Dimsumnya sampai hampir 30menit. Padahal Standarisasi untuk Penyajian Food 15menit & Beverage 3Menit. Padahal Dimsum itu Simple Klo di Thawing nya langsung dikukus di air mendidih hanya membutuhkan waktu 10-15menit. Seberapa banyak orderan Klo tidak kuat Di Preparesen akan kwalahan. Hebatnya sebuah Restoran atau Otlet bukan karena Restorannya tapi karena Man Powernya.Minta tolong supaya di Edukasi Bagian Kitchen Sesuai Standarisasi Restoran Casual Dinning. Terimakasih Mohon maaf kalo ada kata2 saya yang tidak berkenan saya Hanya Sharing Pengalaman saya Di Dunia F&B waktu kerja di Brunei Darussalam."
Mie Gacoan Kenjeran 2,Dwi Ayu Intan Safitri,1,2 bulan lalu,Muanis pol sampe item banget warnanya dan rasanya pahit krn kebanyakan kecap. Level itu untuk tingkat kepedasan bukan tingkat kemanisan. Ngg enak pol pokoknya
Mie Gacoan Kenjeran 2,Bella sanjaya,5,10 jam lalu,"Level pedas bisa disesuaikan, mantap"
Mie Gacoan Kenjeran 2,widya kusuma,5,5 hari lalu,"Enak banget mie nya, porsinya juga pas"
Mie Gacoan Kenjeran 2,yoga773,4,Diedit 3 jam lalu,"Rasanya enak, tapi kadang kepedesan"
Mie Gacoan Kenjeran 2,Hesti L.,5,4 hari lalu,Minumannya juga enak-enak
Mie Gacoan Kenjeran 2,Pipit Fadillah,3,3 bulan lalu,"Lumayan sih, tapi ada yang lebih enak"
Mie Gacoan Kenjeran 2,Monica Ginting,3,15 jam lalu,Cukup memuaskan tapi bisa lebih baik
Mie Gacoan Kenjeran 2,vega381,5,6 hari lalu,Tempat nongkrong favorit
Mie Gacoan Kenjeran 2,Ica U.,3,2 jam lalu,"Biasa aja, pelayanan juga standar"
Mie Gacoan Kenjeran 2,Hadi36,5,Diedit 1 minggu lalu,"Langganan terus dari dulu, ga pernah mengecewakan"
Mie Gacoan Kenjeran 2,Bunga97,4,2 bulan lalu,"Makanan enak, tapi kadang nunggu meja lama"
Mie Gacoan Kenjeran 2,Ayu55,5,1 jam lalu,"Level pedas bisa disesuaikan, mantap"
Mie Gacoan Kenjeran 2,I. Iskandar,5,Diedit 1 minggu lalu,Bersih dan higienis tempatnya
Mie Gacoan Kenjeran 2,Putri Nurhayati,3,6 hari lalu,Oke sih tapi ekspektasi lebih tinggi
Mie Gacoan Kenjeran 2,O. Mahardika,3,1 hari lalu,Cukup memuaskan tapi bisa lebih baik
Mie Gacoan Kenjeran 2,Indra Dimas Kusumah,5,3 jam lalu,Minumannya juga enak-enak
Mie Gacoan Kenjeran 2,Lala31,5,2 jam lalu,Top markotop! Selalu langganan disini
Mie Gacoan Kenjeran 2,Denny H.,4,Diedit 3 jam lalu,"Bagus sih, tapi kadang kehabisan menu tertentu"
Mie Gacoan Kenjeran 2,Umi Kurnadi82,5,Diedit 1 hari lalu,"Gacoan level 6 pedasnya wow, tapi tetap enak dan gurih!"
Mie Gacoan Kenjeran 2,C. Wibowo,4,3 minggu lalu,"Makanan enak, tapi kadang porsi kurang konsisten"
Mie Gacoan Kenjeran 2,jaya anggraini,5,3 hari lalu,"Menu nya bervariasi, semua enak"
Mie Gacoan Kenjeran 2,annisa kartika,4,2 hari lalu,"Bagus sih, tapi kadang kehabisan menu tertentu"
